tag	en	fr	pt	es	id	ru	zh
profile.discardChanges	Discard unsaved Changes?	Annuler les modifications non sauvegardées ?	Descartar Alterações não salvas?	¿Descartar los cambios no guardados?	Buang perubahan yang tidak disimpan?	Отбросить несохраненные изменения?	要放弃未保存的改动吗？
tool.discuss	Discuss	Discuter de	Discutir	Discutir	Bahas	Обсудить	讨论
category.discussion	Discussion	Discussion	Discussão	Debate	Diskusi	Обсуждение	讨论
discussionList.discussionFilter	Discussion Filter	Filtre de discussion	Filtro de Discussão	Filtro de discusión	Filter Diskusi	Фильтр обсуждений	讨论筛选器
category.discussions	discussion(s)	discussion(s)	discussão(ões)	discusión(es)	diskusi	обсуждение(и)	讨论
discussionList.title	Discussions	Discussions	Discussões	Discusiones	Diskusi	Обсуждения	讨论
community.later	Do later	A faire plus tard	Fazer mais tarde	Hacer más tarde	Lakukan nanti	Сделать позже	一会再做
grid.notcontains	Does not contain	Ne contient pas	Não contém	No contiene	Tidak mengandung	Не содержит	不包含
grid.notEqual	Does not equal	N'est pas égal	Não é igual	No es igual a	Tidak sama dengan	Не равно	不等于
keyTerms.domain	Domain	Domaine	Domínio	Dominio	Bidang	Домен	语义域
activityState.done	Done	Terminé	Concluído	Completado	Selesai	Готово	完成
tool.done	Done	Fini	Concluído	Hecho	Selesai	Готово	完成
hotKey.downArrow	Down Arrow	Flèche vers le bas	Seta para baixo	Flecha abajo	Panah Bawah	Стрелка вниз	下箭头
mediaActions.download	Download	Télécharger	Baixar	Descargar	Unduh	Загрузить	下载
audioDownload.downloadMedia	Download Audio	Télécharger l'audio	Baixar Áudio	Descargar audio	Unduh Audio	Скачать аудио	音频下载
transcriptionTab.downloadProject	Download Audio Project	Télécharger le projet audio	Baixar Projeto de Áudio	Descargar proyecto de audio	Unduh Proyek Audio	Скачать аудио проект	下载音频项目
projectDownload.downloadLater	Download Later	Télécharger plus tard	Baixar Depois	Descargar más tarde	Unduh Nanti	Скачать позже	后来下载
projectDownload.confirm	Download Now	Télécharger maintenant	Transferir agora	Descargar ahora	Unduh Sekarang	Скачать сейчас	立即下载
transcriptionTab.download	Download Vernacular Audio	Télécharger Vernacular Audio	Descarregar Áudio Vernacular	Descargar audio vernáculo	Unduh Audio Bahasa Daerah	Скачать аудиозапись	下载垂直音频
projectDownload.download	Download?	Télécharger ?	Baixar?	¿Descargar?	Unduh?	Загрузить?	下载吗？
mediaActions.drag	Drag to reorder	Faites glisser pour réorganiser	Arrastar para organizar	Arrastrar para reordenar	Seret untuk menyusun ulang	Перетащите для изменения порядка	拖动以重新排序
category.duplicate	Duplicate Category	Catégorie de duplicata	Categoria duplicada	Categoría Duplicado	Kategori Duplikat	Категория дубликатов	重复类别
mediaTab.duration	Duration	Durée de la visite	Duração	Duración	Durasi	Продолжительность	持续时间
toDoTable.length	Duration	Durée	Duração	Duración	Durasi	Продолжительность	持续时间
discussionMenu.edit	Edit	Modifier	Editar	Editar	Sunting	Редактировать	编辑
vProject.edit	Edit	Éditer	Editar	Editar	Sunting	Редактировать	编辑
invite.editInvite	Edit Invite	Modifier l'invitation	Editar Convite	Editar invitación	Sunting Undangan	Изменить приглашение	编辑邀请
profile.editMember	Edit Member Profile	Modifier le profil du membre	Editar perfil de membro	Editar perfil de miembro	Edit Profil Anggota	Редактировать профиль участника	编辑会员资料
peer.editPeerGroup	Edit Peer Group	Modifier le group de pairs	Editar Grupo de Colegas	Editar Grupo de Pares	Ubah Kelompok Rekan	Редактировать группу пользователей	编辑管理员群组
profile.edit	Edit Profile	Modifier le profil	Editar perfil	Editar Perfil	Edit Profil	Редактировать профиль	编辑简介
passageDetailArtifacts.editResource	Edit Resource	Changer de ressource	Editar Recurso	Editar recurso	Sunting Sumber	Изменить ресурс	编辑资源
cards.editCategory	Edit Team Categories	cards.editCategory Modifier les catégories de l'équipe	Editar categorias da equipe	Editar Categorías de Equipo	Sunting Kategori Tim	Редактирование категорий команды	编辑团队范畴
projButtons.categoryTitle	Edit Team Categories	Modifier les catégories d'équipe	Editar categorias da equipe	Editar Categorías de Equipo	Sunting Kategori Tim	Редактировать категории команды	编辑团队范畴
shared.editor	Editor	Éditeur	Editor	Editor	Penyunting	Редактор	编辑者
vProject.editorSettings	Editor Settings	Editor Settings	Configurações do Editor	Configuración del editor	Pengaturan Editor	Настройки редактора	编辑器设置
transcriptionTab.elan	ELAN	ELAN	ELAN	ELAN	ELAN	ELAN	ELAN
cards.creatorEmail	Email	Courriel	E-mail	Correo electrónico	Email	Электронная почта	电子邮件
usertable.email	Email	e-mail	E-mail	Correo electrónico	Email	Электронная почта	电子邮件
profile.syncFrequencyEnable	Enable Data Sync:	Activer la synchronisation des données	Ativar a sincronização de dados:	Habilitar sincronización de datos:	Aktifkan Sinkronisasi Data:	Включить синхронизацию данных:	启用数据同步：
hotKey.endKey	End	Fin	Fim	Finalizar	End	End	结束
template.end	Ending verse number	Numéro du verset de fin	Número do versículo final	Número del versículo final	Nomor ayat terakhir	Номер последнего стиха	最后节的号
grid.endsWith	Ends with	Se termine par	Termina com	Termina con	Berakhir dengan	Заканчивается на	结束于
mediaUpload.markdownTitle	Enter Text	Saisir le texte	Inserir texto	Introducir Texto	Ketik Teks	Введите текст	输入文本
grid.equal	Equals	Équivaut à	Igual	Es igual a	Sama dengan	Равно	等于
faithbridge.error	Error: 	Erreur : 	Erro: 	Error: 	Error: 	Ошибка:	错误： 
keyTerms.exclude	Exclude	Exclure	Excluir	Excluir	Kecualikan	Исключить	排除
voice.excludeName	Exclude my name.	Exclure mon nom.	Exclua meu nome.	Excluir mi nombre.	Kecualikan nama saya.	Исключите мое имя.	排除我的姓名。
voice.excludedLanguages	Excluded languages	Langues exclues	Idiomas excluídos	Idiomas excluidos	Bahasa yang dikecualikan	Исключенные языки	排除的语言
main.exit	Exit	Sortie	Sair	Salir de	Keluar	Выход	退出
cards.experimentalFeatures	Experimental Features	Fonctionnalités expérimentales	Caraterísticas experimentais	Características experimentales	Fitur Percobaan	Экспериментальные функции	实验功能
cards.bibleIdExplain	Explain Bible Id	Expliquer l'identifiant de la Bible	Explicar a identificação da Bíblia	Explicar Id. de la Biblia	Jelaskan ID Alkitab	Объясните идентификатор Библии	解释圣经编号
main.export	Export	Exporter	Exportar	Exportar	Ekspor	Экспорт	导出
workflowSteps.export	Export	Export	Exportar	Exportar	Ekspor	Экспорт	导出
transcriptionTab.audioExport	Export Audio Files	Exporter les fichiers audio	Exportar Arquivos de Áudio	Exportar archivos de audio	Ekspor Berkas Audio	Экспорт аудиофайлов	导出音频文件
transcriptionTab.exportProject	Export Audio Project	Exporter une projet audio	Exportar Projeto de Áudio	Exportar proyecto de audio	Ekspor Proyek Audio	Импортировать аудио проект	导入音频项目
transcriptionTab.error	Export Error	Erreur d'exportation	Erro de Exportação	Error en la exportación	Kesalahan Saat Mengekspor	Ошибка экспорта	导出错误
transcriptionTab.exportSinceGo	Export from date	Exporter à partir de la date	Exportar a partir da data	Exportar desde fecha	Ekspor mulai dari tanggal	Экспорт с даты	导出日期
scriptureTable.extras	Extras	Extras	Extras	Extras	Lain-lain	Дополнения	附加
import.family	Family Name	Nom	Nome de Família	Apellido(s)	Nama Keluarga	Фамилия	姓
profile.family	Family Name	Nom de famille	Nome de Família	Nombre de la familia	Nama Keluarga	Фамилия	姓
keyTerms.fauna	Fauna	Faune	Fauna	Fauna	Hewan	Фауна	动物群
mediaTab.fileAttached	File already attached	Fichier déjà joint	Arquivo já anexado	Archivo ya adjuntado	Berkas sudah terlampir	Файл уже прикреплен	文件已经附加了
mediaTab.fileName	File Name	Nom du fichier	Nome do Arquivo	Nombre del archivo	Nama Berkas	Название файла	文件名
selectRecording.filename	File Name	Nom du fichier	Nome do Arquivo	Nombre del archivo	Nama Berkas	Название файла	文件名
template.fileTemplate	File Name Template	File Name Template	Modelo do Nome do Arquivo	Nombre del archivo Plantilla	Templat Nama Berkas	Шаблон имени файла	文件名模板：
passageRecord.fileType	File Type	Type de fichier	Tipo de Arquivo	Tipo de archivo	Jenis Berkas	Тип файла	文件类型
assignmentTable.filter	Filter	Filtrer	Filtro	Filtrar	Filter	Фильтр	筛选
invitationTable.filter	Filter	Filtre	Filtro	Filtrar	Filter	Фильтр	筛选
filterMenu.filter	Filter Discussions	Discussions sur les filtres	Filtrar Discussões	Filtrar discusiones	Filter Diskusi	Фильтровать обсуждения	筛选讨论
grid.filterPlaceholder	Filter...	Filtre...	Filtrar...	Filtro...	Filter...	Фильтр...	筛选...
projectDownload.filteredFiles	Filtered Files	Fichiers filtrés	Ficheiros filtrados	Archivos filtrados	Berkas yang Difilter	Отфильтрованные файлы	筛选文件
projectDownload.filtered	Filtered MB	MB filtrés	MB filtrados	MB filtrados	MB Difilter	Отфильтрованные МБ	已过滤 MB
workflowSteps.finalReview	Final Audio Review	Révision audio finale	Revisão final de áudio	Revisión final de audio	Pemeriksaan Akhir Audio	Окончательная аудиорецензия	最终音频复习
workflowSteps.finalReviewText	Final Text Review	Révision finale du texte	Revisão Final de Texto	Revisión final del texto	Pemeriksaan Akhir Tulisan	Окончательная проверка текста	最终文本复习
passageDetailArtifacts.find	Find	Rechercher	Localizar	Buscar	Cari	Найти	查找
resource.findNote	Find existing note	Rechercher une note existante	Procurar nota existente	Buscar nota existente	Cari catatan yang sudah ada	Найти существующую заметку	查找现有注释
findResource.findResource	Find Resource	Trouver une ressource	Localizar recurso	Buscar recurso	Cari Sumber	Найти ресурс	查找资源
findResource.findOther	Find: Other	Rechercher : Autre	Localizar: Outros	Buscar: Otros	Cari: Lain-lain	Найти: Другие	查找： 其他
community.finished	finished	terminé	concluído	terminado	selesai	завершенный	完成
workflowSteps.consultantCheck1	First Consultant Check	Vérification du premier consultant	Verificação do primeiro consultor	Primer Consultor	Pemeriksaan Konsultan Pertama	Проверка первого консультанта	第一顾问检查
wsAudioPlayerZoom.fitToWidth	Fit to Width	Ajuster à la largeur	Ajustar à Largura	Ajustar a la anchura	Sesuaikan lebar	По ширине	适合宽度
vProject.flat	Flat	Plate	Plano	Plano	Datar	Обычный	平面
keyTerms.flora	Flora	Flore	Flora	Flora	Tumbuhan	Флора	植物群
languagePicker.font	Font	Police	Fonte	Fuente	Font	Шрифт	字体
vProject.fontSize	Font Size	Taille de la police	Tamanho da Fonte	Tamaño de la fuente	Ukuran Teks	Размер шрифта	字体大小
import.fontsize	Font Size	Font Size	Tamanho da Fonte	Tamaño de la letra	Ukuran Teks	Размер шрифта	字体大小
filterMenu.forYou	For You	Pour vous	Para Você	Para usted	Untuk Anda	Для вас	您的任务
profile.syncFrequencyLabel	Frequency:	Fréquence :	Frequência:	Frecuencia:	Frekuensi:	Частота:	频率：
passageType.ALTBK	Friendly Book	Livre amical	Livro amigável	Libro amistoso	Kitab Ramah	Дружественная книга	友好图书
profile.name	Full Name	Nom complet	Nome Completo	Nombre completo	Nama lengkap	Полное имя	姓名
voice.gender	Gender	Genre	Gênero	Género	Jenis Kelamin	Пол	性别
control.other	General	Générale	Geral	General	Umum	Основное	通用
category.general	General Note	Note générale	Nota geral	Nota general	Catatan Umum	Общее примечание	通用笔记
artifactType.projectresource	General Resource	Ressource générale	Recurso Geral	Recurso general	Sumber Umum	Общие ресурсы	通用资源
passageDetailArtifacts.generalResources	General Resources	Ressources générales	Recursos Gerais	Recursos generales	Sumber Umum	Общие ресурсы	通用资源
welcome.title	Getting Started	Démarrage	Primeiros passos	Cómo empezar	Memulai	Начало работы	开始使用
import.given	Given Name	Prénom	Nome Próprio	Nombre	Nama Depan	Имя	名字
profile.given	Given Name	Prénom	Nome Próprio	Nombre	Nama Depan	Имя	名字
keyTerms.gloss	Gloss	Glossaire	Gloss	Glosa	Arti Singkat	Глосса	释义
main.goOffline	Go Offline	Passer hors ligne	Ficar off-line	Desconectar	Bekerja Tanpa Koneksi Internet	Перейти в автономный режим	离线
main.goOnline	Go Online	Aller en ligne	Ir para online	Conectarse	Bekerja Secara Online	Перейти в режим онлайн	转到在线
viewMode.gotowork	Go to Work	Aller au travail	Ir trabalhar	Ir a Trabajo	Buka Tugas	идти на работу	去到工作
artifactCategory.grammar	Grammar	Grammaire	Gramática	Gramática	Tata Bahasa	Грамматика	语法
artifactCategory.graphic	Graphic	Graphique	Gráfico	Gráfico	Gambar	Графика	图形
mediaTab.graphicRightsTitle	Graphics Rights holder	Détenteur des droits graphiques	Gráficos Titular dos direitos	Titular de los derechos gráficos	Pemilik Hak Cipta Gambar	Графика Правообладатель	图形 权利持有人
grid.greaterThan	Greater than	Plus grand que	Maior que	Mayor que	Lebih besar dari	Больше, чем	大于
keyTerms.greek	Greek	Grec	Grego	Griego	Bahasa Yunani	Греческий	希腊语
findResource.group	Group	Groupe	Agrupar	Grupo	Kelompok	Группа	组
groupTabs.groups	Groups	Groupes	Grupos	Grupos	Kelompok	Группы	组
keyTerms.hebrew	Hebrew	Hébreu	Hebraico	Hebreo	Bahasa Ibrani	Иврит	希伯来语
main.helpCenter	Help Center	Centre d'Aide	Central de Ajuda	Centro de ayuda	Pusat Bantuan	Справочный центр	帮助中心
keyTerms.hide	Hide	Cacher	Esconder	Ocultar	Sembunyikan	Скрыть	隐藏
scriptureTableFilter.hideDone	Hide Done rows	"Masquez les étapes ""Terminé""."	Ocultar etapas 'Concluídas'.	Ocultar filas hechas	Sembunyikan baris yang selesai	Скрыть шаги «Готово».	隐藏完成行
planSheet.hidePublishing	Hide Publishing Information	Masquer les informations de publication	Ocultar informação de publicação	Ocultar información de publicación	Sembunyikan Informasi Penerbitan	Скрыть информацию о публикации	隐藏出版信息
scriptureTableFilter.hidePublishing	Hide Publishing Rows	Masquer les rangées de publication	Ocultar linhas de publicação	Ocultar filas de publicación	Sembunyikan Baris Penerbitan	Скрыть строки публикации	隐藏发布行
vProject.hierarchical	Hierarchical	Hiérarchique	Hierárquico	Jerárquico	Hierarkis	Иерархический	分级显示
hotKey.homeKey	Home	Accueil	Página inicial	Inicio	Halaman utama	Home	主页
viewMode.home	Home	Accueil	Início	Inicio	Halaman Utama	Домой	主页
findResource.image	image	image	imagem	imagen	gambar	изображение	图像
audacityManager.import	Import	Importer	Importar	Importar	Impor	Импорт	输入
main.import	Import	Importation	Importar	Importar	Impor	Импорт	导入
projButtons.import	Import	Importer	Importar	Importar	Impor	Импорт	导入
projButtons.importExport	Import / Export	Importation / Exportation	Importar / Exportar	Importar / Exportar	Impor / Ekspor	Импорт / Экспорт	导入和导出
shared.importMediaSingular	Import Audio	Importer des audio	Importar Áudio	Importar audio	Impor Audio	Импортировать аудио	导入音频
access.importSnapshot	Import Audio Project	Importer un projet audio	Importar Projeto de Áudio	Importar Proyecto de Audio	Impor Proyek Audio	Импортировать аудио проект	导入音频项目
cards.import	Import Audio Project	Importer un projet audio	Importar Projeto de Áudio	Importar proyecto de audio	Impor Proyek Audio	Импортировать аудио проект	导入音频项目
electronImport.importProject	Import Audio Project	Importer un projet audio	Importar Projeto de Áudio	Importar proyecto de audio	Impor Proyek Audio	Импортировать аудио проект	导入音频项目
import.importProject	Import Audio Project	Importer un projet audio	Importar Projeto de Áudio	Importar proyecto de audio	Impor Proyek Audio	Импорт проекта	导入音频项目
welcome.import	Import Audio Project	Importer le projet audio	Importar Projeto de Áudio	Importar proyecto de audio	Impor Proyek Audio	Импортировать аудио проект	导入音频项目
import.importComplete	Import Complete	Importation terminée	Importação Completa	Importación completa	Selesai Diimpor	Импорт завершен	导入完毕
electronImport.importComplete	Import Complete	Importation terminée	Importação Completa	Importación completada	Selesai Diimpor	Импорт завершен	导入已完成
import.error	Import Error	Erreur d'importation	Erro de Importação	Error de importación	Kesalahan Impor	Ошибка Импорта	导入错误
import.importPending	Import In Progress...	Importation en cours ...	Importação em Progresso...	Importación en curso...	Sedang Impor...	Идет импорт...	导入进行中...
import.imported	Imported Value	Valeur importée	Valor Importado	Valor importado	Nilai Impor	Импортированное значение	导入的值
stepEditor.inProgress	In progress...	En cours...	Em Progresso...	En progreso...	Dalam proses...	В процессе...	正在进行中...
activityState.incomplete	Incomplete	Incomplet	Incompleto	Incompleto	Belum Selesai	Не завершён	不完全
transcriber.incomplete	Incomplete transcription	Transcription incomplète	Transcrição incompleta	Transcripción incompleta	Transkripsi belum lengkap	Незавершенная транскрипция	转录不完整
transcriptionTab.exportITFtype	Incremental Changes (itf)	Modifications incrémentielles (itf)	Alterações Incrementais (itf)	Cambios incrementales (itf)	Perubahan Bertahap (itf)	Постепенные изменения (itf)	增量变化(itf)
keyTerms.index	Index	Index	Índice	Índice	Indeks	Указатель	索引
welcome.quickGiven	Initial	Initial	Inicial	Inicial	Awal	Исходный	初始
welcome.quickName	Initial User	Utilisateur initial	Usuário Inicial	Usuario inicial	Pengguna Awal	Исходный пользователь	初始用户
wsAudioPlayer.insertoverwrite	Insert/Overwrite	Insérer/écraser	Inserir/Substituir	Insertar/sobreescribir	Sisipkan/Timpa	Вставить/переписать	插入/刷入
main.integrations	Integrations	Intégrations	Integrações	Integraciones	Sambungan	Интеграция	集成
artifactType.intellectualproperty	Intellectual Property	Propriété intellectuelle	Propriedade intelectual	Propiedad intelectual	Hak Cipta	Интеллектуальная собственность	知识产权
tool.resource	Internalize	Intérioriser	Internalizar	Internalizar	Internalisasi	Подстрочник	内化
workflowSteps.internalize	Internalize	Internalisation	Internalizar	Internalizar	Internalisasi	Подстрочник	内化
cards.notesLabel	Introductory Notes Title	Notes d'introduction Titre	Notas introdutórias Título	Notas introductorias Título	Judul Catatan Pengantar	Вводные заметки Название	介绍性说明 标题
category.introPara	Introductory Paragraph	Paragraphe d'introduction	Parágrafo introdutório	Párrafo Introductorio	Paragraf Pengantar	Вводный абзац	介绍性段落
invite.invalidEmail	Invalid email address	Adresse électronique invalide	E-mail inválido	Dirección de correo electrónico no válida	Alamat e-mail tidak berlaku	Неверный адрес электронной почты	电子邮件地址无效
groupTabs.invitations	Invitations	Invitations	Convites	Invitaciones	Undangan	Приглашения	邀请
invitationTable.invite	Invite	Inviter	Convidar	Invitar	Undang	Приглашение	邀请
invite.addInvite	Invite Person	Inviter une personne	Convidar pessoa	Invitar a una persona	Undang Orang	Пригласить человека	邀请别人
invite.join	Join	Rejoindre	Juntar-se	Únase a	Bergabung	Присоединиться	加入
peerCheck.toEnd	Jump to end	Aller à la fin	Ir para o final	Saltar al final	Lompat ke akhir	Перейти к концу	跳转至结束
welcome.keyFactor	Key Factor(s)	Facteur clé	Fator(es)-Chave	Factor(es) clave	Faktor Kunci	Ключевой фактор(ы)	关键因素
artifactType.keyterm	Key Term	Terme clé	Termo-chave	Término clave	Istilah Alkitab	Ключевой термин	关键术语
passageDetailArtifacts.keywords	Keywords	Mots clés	Palavras-chave	Palabras clave	Kata kunci	Ключевые слова	关键词
resource.keywords	Keywords	Mots clés	Palavras-chave	Palabras clave	Kata kunci	Ключевые слова	关键词
findResource.language	Language	Langue	Idioma	Idioma	Bahasa	Язык	语言
template.language	Language BCP47 code	Langue Code BCP47	Código de idioma BCP47	Idioma Código BCP47	Kode bahasa BCP47	Код языка BCP47	语言BCP47 代码
sortMenu.lastUpdated	Last Updated	Dernière mise à jour	Última Atualização	Última actualización	Pembaruan Terakhir	Последнее обновление	最新更新
transcriptionTab.latestAudio	Latest Audio	Dernier audio	Último Áudio	Último audio	Berkas Audio Terakhir	Последнее аудио	最新音频
filterMenu.latestVersion	Latest Version	Dernière version	Versão Mais Recente	Última versión	Versi Terbaru	Последняя версия	最新版本
mediaTab.latestVersion	Latest Version	Dernière version	Versão mais recente	Última versión	Versi Terbaru	Последняя версия	最新版本
findResource.launch	Launch	Lancer	Lançamento	Lanzamiento	Jalankan	Запуск	启动
shared.launchAudacity	Launch Audacity	Lancer Audacity	Iniciar Audacity	Iniciar Audacity	Buka Audacity	Запустить Audacity	启动 胆敢
vProject.layout	Layout	Mise en page	Layout	Diseño	Tata Letak	Шаблон	布局
hotKey.leftArrow	Left Arrow	Flèche gauche	Seta para a Esquerda	Flecha izquierda	Panah Kiri	Стрелка влево	左箭头
grid.lessThan	Less than	Moins que	Menor que	Menor que	Kurang dari	Менее чем	少于
keyTerms.link	Link	Lien	Link	Enlace	Link	Ссылка	链接
passageDetailArtifacts.linkResource	Link (URI)	Lien (URI)	Link (URI)	Enlace (URI)	Link (URI)	Ссылка (URI)	链接（URI）
mediaUpload.linkTitle	Link Resource	Lien de la ressource	Recurso de link	Enlazar recurso	Sambungkan Sumber	Ссылка на ресурс	链接资源
passageDetailArtifacts.sharedResource	Link Shared	Lien partagé	Link compartilhado	Enlace compartido	Link Dikirim	Общая ссылка	共享链接
passageRecord.loadlatest	Load Latest Audio	Charger le dernier fichier audio	Carregar Último Áudio	Cargar audio más reciente	Muat Audio Terbaru	Загрузить последнее аудио	家在最新的音频
scriptureTable.loadingTable	Loading data	Chargement des données	Carregando dados	Carga de datos	Memuat data	Загрузка данных	正在加载数据
faithbridge.loading	Loading result...	Chargement du résultat...	A carregar resultado...	Cargando resultado...	Memuat hasil...	Загрузка результата...	正在加载结果...
community.loading	Loading:	Chargement :	Carregando:	Cargar:	Memuat:	Загрузка:	正在加载中
shared.loading	Loading...	Chargement...	Carregando...	Carga...	Memuat...	Загружается...	加载中...
passageRecord.loading	Loading...	Chargement...	Carregando...	Cargando...	Sedang memuat...	Загрузка...	加载中...
usertable.locale	Locale	paramètres régionaux	Localidade	Localidad	Wilayah	Локация	地区
profile.locked	Locked	Verrouillé	Bloqueado	Bloqueado	Terkunci	Заблокировано	锁住
access.logIn	Log In	Se connecter	Fazer login	Iniciar Sesión	Masuk	Войти	登录
main.logout	Log Out	Déconnexion	Sair	Cerrar sesión	Keluar	Выйти	登出
profile.logout	Logout	Déconnexion	Sair	Cierre de sesión	Keluar	Выйти	登出
wsAudioPlayer.loopoff	Loop Off	Boucle désactivée	Loop Desativado	Bucle desactivado	Berhenti putar berulang-ulang	Повтор выкл.	循环关闭
wsAudioPlayer.loopon	Loop On	Boucle sur	Loop Ativado	Bucle activado	Putar berulang-ulang	Повтор вкл.	循环开启
consultantCheck.checked	Mark Checked	consultantCheck.checked Marque Coché	Marcar como verificado	Marcar Comprobado	Tandai Sebagai Sudah Diperiksa	Отметить Отмечено	标记已勾选
tool.verses	Mark Verses	Versets de la marque	Marcar Versos	Marcar Versos	Tandai Ayat	Марк Стихов	标记诗句
workflowSteps.markVerses	Mark Verses	Marquer les versets	Marcar versos	Marcar versos	Tandai Ayat	Отметить стихи	标记诗句
grid.max	Max	Max	Máximo	Máx.	Maks	Максимум	最多
scriptureTableFilter.maximum	Maximum	Maximum	Maksimum	Máximo	Maksimal	Максимальный	最大
findResource.meaning	meaning	sens	Significado	Significado	arti	Значение	意义
findResource.mediaType	Media	Médias	Mídia	Medios de comunicación	Media	СМИ	媒体
invite.member	Member	Membre	Membro	Miembro	Anggota	Участник	成员
assignSection.users	Members	Membres	Membros	Miembros	Anggota	Участники	成员
permission.mentor	Mentor	Mentor	Mentor	Mentor	Mentor	Наставник	导师
grid.min	Min	Min	Mínimo	Mínimo	Min	Минимум	最小
scriptureTableFilter.minimum	Minimum	Minimale	Minimum	Mínimo	Mulai dari	Минимум	最少
keyTerms.misc	Miscellaneous	Divers	Diversos	Varios	Lain-lain	Разное	其他界面选项
projectDownload.missingFiles	Missing Files	Fichiers manquants	Ficheiros em falta	Archivos perdidos	Berkas Tidak Ditemukan	Отсутствующие файлы	缺失文件
projectDownload.missing	Missing MB	MB manquant	MB em falta	MB faltantes	MB Tidak Ditemukan	Отсутствующие МБ	缺失 MB
discussionMenu.move	Move	Déplacer	Mover	Mover	Pindahkan	Переместить	移动
planSheet.moveDown	Move down	Descendre	Deslocar para baixo	Desplazarse hacia abajo	Pindahkan ke bawah	Переместить вниз	下移
planSheet.moveUp	Move up	Avancer	Mover para cima	Avanzar	Pindahkan ke atas	Движение вверх	上移
findResource.movement	movement	mouvement	movimento	movimiento	gerakan	движение	运动
passageDetailArtifacts.movementResource	Movement	Mouvement	Movimento	Movimiento	Gerakan	Движение	运动
vProject.movements	Movements	Mouvements	Movimentos	Movimientos	Gerakan	Движения	移动
main.myAccount	My Account	Mon compte	Minha Conta	Mi cuenta	Akun Saya	Мой аккаунт	我的账户
voice.myProjects	my personal projects	mes projets personnels	meus projetos pessoais	mis proyectos personales	proyek pribadi saya	мои личные проекты	我的个人项目
passageRecord.defaultFilename	MyRecording	MonAudio	MyRecording	MiGrabación	RekamanSaya	Моя запись	我的录制
usertable.name	Name	Nom	Nome	Nombre	Nama	Имя	名称
vProject.nameInUse	Name in use	Nom utilisé	Nome em uso	Nombre en uso	Nama yang sedang digunakan	Используемое имя	正在使用的名称
cards.biblename	Name of Bible	Nom de la Bible	Nome da Bíblia	Nombre de la Biblia	Nama Alkitab	Название Библии	圣经名称
selectArtifactType.newArtifactType	New Artifact Type	Nouveau type d'artefact	Novo Tipo de Artefato	Nuevo tipo de artefacto	Jenis Sumber Baru	Новый тип дополнительного материала	新学习工具类型
cards.newProject	New Audio Project	Nouveau projet audio	Novo Projeto de Áudio	Nuevo proyecto de audio	Proyek Audio Baru	Новый аудио проект	音频方案
selectArtifactCategory.newArtifactCategory	New Category	Nouvelle catégorie	Nova Categoria	Nueva categoría	Kategori Baru	Новая Категория	新范畴
faithbridge.newChat	New Chat	Nouvelle discussion	Novo Chat	Nuevo chat	Obrolan Baru	Новый чат	新聊天
picker.newName	New Language Name	Nouveau nom de langue	Novo nome do idioma	Nuevo nombre de idioma	Nama Bahasa Baru	Новое название языка	新语言名称
peer.newPeerGroup	New Peer Group	Nouveau groupe de pairs	Novo Grupo de Colegas	Nuevo grupo paritario	Kelompok Rekan Baru	Новая группа пользователей	新管理员组
vProject.newTag	New Tag	Nouvelle étiquette	Nova etiqueta	Nueva etiqueta	Markah Baru	Новый тег	新标签
profile.next	Next	Suivant	Próximo	Siguiente	Berikutnya	Следующий	下一个
findResource.next	Next page	Page suivante	Página seguinte	Página siguiente	Halaman selanjutnya	Следующая страница	下一页
cards.workflowProgressionPassage	Next Passage	Passage suivant	Passagem seguinte	Pasaje siguiente	Bagian Berikutnya	Следующий отрывок	下一段经文
cards.workflowProgressionStep	Next Step	Étape suivante	Próxima etapa	Paso siguiente	Langkah Berikutnya	Следующий шаг	下一步
stepEditor.nextStep	Next Step	Étape suivante	Próximo Passo	Paso siguiente	Langkah Berikutnya	Следующий шаг	下一步
toDoTable.no	No	Non	Não	No	Tidak	Нет	不是
shared.noAudio	No Audio Available!	Pas d'audio disponible !	Nenhum Áudio Disponível!	No hay audio disponible.	Belum Ada Rekaman!	Аудио недоступно!	没有可用的音频！
grid.noColumns	No columns visible	Aucune colonne visible	Nenhuma coluna visível	No hay columnas visibles	Tidak ada kolom yang terlihat	Столбцы не видны	没有可见的列
grid.noData	No data	Pas de données	Sem dados	No hay datos	Tidak ada data	Нет данных	没有数据
faithbridge.noInfo	No information found	Aucune information trouvée	Nenhuma informação encontrada	No se ha encontrado información	Tidak ada informasi yang ditemukan	Информация не найдена	未找到信息
invitationTable.noData	No invitations	Pas d'invitations	Nenhum convite	No hay invitaciones	Tidak ada undangan	Нет приглашений	没有邀请
consultantCheck.noMedia	No Media Available	Pas de média disponible	Nenhuma mídia disponível	No hay medios disponibles	Belum Ada Media	Нет носителя	没有可用的音频！
languagePicker.noFonts	No recommended font	Pas de polices recommandées	Nenhum tipo de letra recomendado	Fuentes no recomendadas	Tidak ada font yang direkomendasikan	Нет рекомендуемых шрифтов	没有推荐字体
picker.noFonts	No recommended fonts	Pas de polices recommandées	Nenhuma fonte recomendada	Fuentes no recomendadas	Tidak ada font yang direkomendasikan	Нет рекомендуемых шрифтов	不推荐字体
activityState.noMedia	No Recording	Pas d’enregistrement	Nenhuma Gravação	No existe grabación	Tidak Ada Rekaman	Нет записей	没有录音
